School,Conf,Coach, TotalPay , Graduation Rate (GSR) , StadSize ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Air Force,Mt. West,Troy Calhoun,885000,83,46692,10,3,3.333333333,4.96,-0.87,4.09,78.16
Akron,MAC,Terry Bowden,412500,45,30000,5,7,0.714285714,-0.4,-6.12,-6.52,72.64
Alabama,SEC,Nick Saban,8307000,79,101821,14,1,14,8.01,17.62,25.62,90.38
Appalachian State,Sun Belt,Scott Satterfield,712500,57,24050,10,3,3.333333333,-0.86,9.68,8.83,70.76
Arizona,Pac-12,Kevin Sumlin,2000000,74,51811,3,9,0.333333333,1.01,-5.64,-4.63,74.42
Arizona State,Pac-12,Herm Edwards,2000000,74,71706,5,7,0.714285714,5.89,-8.49,-2.6,79.22
Arkansas,SEC,Chad Morris,3500000,76,72000,7,6,1.166666667,4.06,0.29,4.35,80.66
Arkansas State,Sun Belt,Blake Anderson,825000,76,30964,8,5,1.6,-3.46,2.9,-0.56,70.41
Army,Ind.,Jeff Monken,932521,76,38000,8,5,1.6,-7.31,4.9,-2.41,74.12
Auburn,SEC,Gus Malzahn,6705656,76,87451,8,5,1.6,-1.04,13.02,11.97,81.8
Ball State,MAC,Mike Neu,435689,71,22500,4,8,0.5,-3.5,-5.61,-9.11,69.48
Baylor,Big 12,Matt Rhule,,71,45140,7,6,1.166666667,2.67,0.34,3.01,80.58
Boise State,Mt. West,Bryan Harsin,1650010,55,37000,10,3,3.333333333,2.87,5.14,8.01,76.66
Boston College,ACC,Steve Addazio,2514859,90,44500,7,6,1.166666667,-7,7.58,0.58,68.72
Bowling Green,MAC,Mike Jinks,437228,90,23724,,,,,,,
Brigham Young,Ind.,Kalani Sitake,,82,63725,9,4,2.25,0.11,6.39,6.5,74.98
Buffalo,MAC,Lance Leipold,455500,89,29013,2,10,0.2,-11.82,-6.42,-18.24,60.55
California,Pac-12,Justin Wilcox,1500000,81,62717,5,7,0.714285714,12.42,-10,2.42,85.02
Central Florida,AAC,Josh Heupel,1700000,64,45301,,,,,,,
Central Michigan,MAC,John Bonamego,655000,64,32885,6,7,0.857142857,-4.7,-0.9,-5.6,70.47
Charlotte,C-USA,Brad Lambert,625000,56,15314,4,8,0.5,-6.5,-6.01,-12.51,67.25
Cincinnati,AAC,Luke Fickell,2000000,56,40000,4,8,0.5,-9.46,0.29,-9.17,65.2
Clemson,ACC,Dabo Swinney,6543350,56,81500,14,1,14,9.4,10.68,20.08,91.53
Coastal Carolina,Sun Belt,Joe Moglia,400000,85,9214,,,,,,,
Colorado,Pac-12,Mike MacIntyre,2878500,83,50183,10,4,2.5,2.32,9.86,12.18,79.41
Colorado State,Mt. West,Mike Bobo,1800000,83,34400,7,6,1.166666667,5.18,-2.66,2.52,80.23
Connecticut,AAC,Randy Edsall,1100000,98,40000,3,9,0.333333333,-13.01,-0.3,-13.3,60.84
Duke,ACC,David Cutcliffe,2540928,82,33941,4,8,0.5,-3.03,1.67,-1.36,73.35
East Carolina,AAC,Scottie Montgomery,1102500,80,50000,3,9,0.333333333,-2.71,-6.98,-9.69,74.88
Eastern Michigan,MAC,Chris Creighton,460000,75,30200,7,6,1.166666667,-1.73,-2.57,-4.3,72.43
Florida,SEC,Dan Mullen,6070000,92,88548,9,4,2.25,-2.62,13.6,10.98,74.4
Florida Atlantic,C-USA,Lane Kiffin,1000000,49,30000,3,9,0.333333333,-4.18,-10.42,-14.6,69.14
Florida State,ACC,Willie Taggart,5000000,68,82300,10,3,3.333333333,9.49,5.52,15.01,86.38
Fresno State,Mt. West,Jeff Tedford,1550000,90,41031,1,11,0.090909091,-12.31,-1.94,-14.26,60.61
Georgia,SEC,Kirby Smart,6603600,89,92746,8,5,1.6,0.35,3.29,3.64,74.16
Georgia Southern,Sun Belt,Chad Lunsford,650000,82,24300,5,7,0.714285714,-3.04,-1.36,-4.4,71.25
Georgia State,Sun Belt,Shawn Elliott,569000,63,28155,3,9,0.333333333,-8.2,-1.17,-9.37,64.06
Georgia Tech,ACC,Paul Johnson,3060018,33,55000,9,4,2.25,3.28,3.85,7.13,78.04
Hawaii,Mt. West,Nick Rolovich,486504,100,50000,7,7,1,-1.79,-4.65,-6.44,70.46
Houston,AAC,Major Applewhite,1750000,0,40000,9,4,2.25,2.5,2.94,5.44,81.31
Illinois,Big Ten,Lovie Smith,5000000,72,60670,3,9,0.333333333,-5.92,-1.83,-7.75,69.69
Indiana,Big Ten,Tom Allen,1830000,74,52959,6,7,0.857142857,2.15,-0.77,1.38,74.18
Iowa,Big Ten,Kirk Ferentz,4700000,84,70585,8,5,1.6,-0.51,7.31,6.81,74.25
Iowa State,Big 12,Matt Campbell,3500000,84,61500,3,9,0.333333333,-3.46,-0.97,-4.43,74.74
Kansas,Big 12,David Beaty,1701109,81,50071,2,10,0.2,-9.16,-1.49,-10.65,67.96
Kansas State,Big 12,Bill Snyder,3500000,81,50000,9,4,2.25,1.7,6.39,8.09,78.76
Kent State,MAC,Sean Lewis,440000,77,25000,3,9,0.333333333,-7.19,-1.93,-9.12,65.93
Kentucky,SEC,Mark Stoops,4013600,77,62093,7,6,1.166666667,4.33,-2.03,2.3,78.92
Liberty,Ind.,Turner Gill,947281,84,21088,,,,,,,
Louisiana-Lafayette,Sun Belt,Billy Napier,850000,67,36900,,,,,,,
Louisiana-Monroe,Sun Belt,Matt Viator,390000,67,30427,4,8,0.5,-4.42,-7.55,-11.97,68.45
Louisville,ACC,Bobby Petrino,3980434,67,55000,9,4,2.25,8.81,3.06,11.87,92.04
LSU,SEC,Ed Orgeron,3500000,67,102321,8,4,2,2.68,13.25,15.93,79.6
Maryland,Big Ten,DJ Durkin,2512000,73,51802,6,7,0.857142857,-1.82,1.89,0.07,74
Massachusetts,Ind.,Mark Whipple,500000,73,66829,2,10,0.2,-3.73,-8.21,-11.94,69.5
Memphis,AAC,Mike Norvell,2600000,73,62380,8,5,1.6,3.28,-0.32,2.96,83.82
Miami (Fla.),ACC,Mark Richt,4058061,73,65000,,,,,,,
Miami (Ohio),MAC,Chuck Martin,524826,73,24286,,,,,,,
Michigan,Big Ten,Jim Harbaugh,7504000,85,107601,10,3,3.333333333,4.71,12.85,17.56,90.05
Michigan State,Big Ten,Mark Dantonio,4390417,85,75005,3,9,0.333333333,-1.21,-0.58,-1.79,74.72
